"","Country","year","gdp","rank"
"1","Argentina","1999",283.523,17
"2","Australia","1999",401.782,15
"3","Brazil","1999",586.922,10
"4","Canada","1999",661.345,8
"5","China","1999",1083.28,7
"6","France","1999",1456.8,5
"7","Germany","1999",2146.43,3
"8","India","1999",440.76,13
"9","Italy","1999",1202.4,6
"10","Japan","1999",4384.27,2
"11","Korea","1999",445.557,12
"12","Mexico","1999",480.593,11
"13","Netherlands","1999",411.997,14
"14","Spain","1999",618.691,9
"15","Switzerland","1999",265.23,18
"16","Taiwan Province of China","1999",298.825,16
"17","United Kingdom","1999",1467.03,4
"18","United States","1999",9268.43,1
"19","Argentina","2000",284.204,17
"20","Australia","2000",390.017,14
"21","Brazil","2000",644.283,9
"22","Canada","2000",725.158,8
"23","China","2000",1198.48,6
"24","France","2000",1333.04,5
"25","Germany","2000",1905.8,3
"26","India","2000",461.329,13
"27","Italy","2000",1100.56,7
"28","Japan","2000",4668.79,2
"29","Korea","2000",511.961,12
"30","Mexico","2000",580.791,11
"31","Netherlands","2000",386.204,15
"32","Russia","2000",259.702,18
"33","Spain","2000",582.377,10
"34","Taiwan Province of China","2000",321.374,16
"35","United Kingdom","2000",1445.19,4
"36","United States","2000",9816.98,1
"37","Argentina","2001",268.697,18
"38","Australia","2001",368.191,15
"39","Brazil","2001",554.41,11
"40","Canada","2001",715.632,8
"41","China","2001",1324.81,6
"42","France","2001",1341.39,5
"43","Germany","2001",1892.6,3
"44","India","2001",473.867,13
"45","Italy","2001",1118.32,7
"46","Japan","2001",4097.96,2
"47","Korea","2001",481.979,12
"48","Mexico","2001",621.859,9
"49","Netherlands","2001",400.998,14
"50","Russia","2001",306.583,16
"51","Spain","2001",609.631,10
"52","Taiwan Province of China","2001",291.889,17
"53","United Kingdom","2001",1435.63,4
"54","United States","2001",10127.95,1
"55","Australia","2002",412.901,15
"56","Brazil","2002",505.712,12
"57","Canada","2002",734.773,8
"58","China","2002",1453.84,6
"59","France","2002",1463.9,5
"60","Germany","2002",2024.06,3
"61","India","2002",494.848,13
"62","Italy","2002",1223.24,7
"63","Japan","2002",3925.11,2
"64","Korea","2002",547.856,11
"65","Mexico","2002",648.629,10
"66","Netherlands","2002",439.357,14
"67","Russia","2002",345.486,16
"68","Spain","2002",688.676,9
"69","Switzerland","2002",277.113,18
"70","Taiwan Province of China","2002",294.876,17
"71","United Kingdom","2002",1574.47,4
"72","United States","2002",10469.6,1
"73","Australia","2003",527.588,15
"74","Belgium","2003",310.514,18
"75","Brazil","2003",552.239,13
"76","Canada","2003",868.485,9
"77","China","2003",1640.97,6
"78","France","2003",1804.99,5
"79","Germany","2003",2444.28,3
"80","India","2003",576.547,12
"81","Italy","2003",1510.06,7
"82","Japan","2003",4234.92,2
"83","Korea","2003",608.337,11
"84","Mexico","2003",638.745,10
"85","Netherlands","2003",539.343,14
"86","Russia","2003",431.429,16
"87","Spain","2003",884.908,8
"88","Switzerland","2003",323.065,17
"89","United Kingdom","2003",1814.64,4
"90","United States","2003",10960.75,1
"91","Australia","2004",639.356,14
"92","Belgium","2004",359.155,18
"93","Brazil","2004",663.552,13
"94","Canada","2004",993.908,9
"95","China","2004",1931.64,6
"96","France","2004",2059.71,5
"97","Germany","2004",2744.22,3
"98","India","2004",667.342,12
"99","Italy","2004",1728.86,7
"100","Japan","2004",4608.14,2
"101","Korea","2004",681.227,11
"102","Mexico","2004",683.486,10
"103","Netherlands","2004",609.038,15
"104","Russia","2004",591.861,16
"105","Spain","2004",1044.51,8
"106","Switzerland","2004",360.152,17
"107","United Kingdom","2004",2155.16,4
"108","United States","2004",11712.48,1
"109","Australia","2005",712.436,15
"110","Belgium","2005",372.726,17
"111","Brazil","2005",882.043,10
"112","Canada","2005",1132.44,8
"113","China","2005",2243.69,4
"114","France","2005",2127.17,6
"115","Germany","2005",2791.74,3
"116","India","2005",780.784,12
"117","Italy","2005",1772.77,7
"118","Japan","2005",4557.12,2
"119","Korea","2005",791.572,11
"120","Mexico","2005",767.69,13
"121","Netherlands","2005",629.911,16
"122","Russia","2005",763.878,14
"123","Spain","2005",1127.98,9
"124","Switzerland","2005",366.514,18
"125","United Kingdom","2005",2230.61,5
"126","United States","2005",12455.83,1
"127","Australia","2006",754.816,15
"128","Belgium","2006",393.59,17
"129","Brazil","2006",1067.71,10
"130","Canada","2006",1269.1,8
"131","China","2006",2630.11,4
"132","France","2006",2231.63,6
"133","Germany","2006",2897.03,3
"134","India","2006",886.867,13
"135","Italy","2006",1852.59,7
"136","Japan","2006",4367.46,2
"137","Korea","2006",888.267,12
"138","Mexico","2006",840.012,14
"139","Netherlands","2006",663.119,16
"140","Russia","2006",979.048,11
"141","Spain","2006",1225.75,9
"142","Turkey","2006",392.424,18
"143","United Kingdom","2006",2373.69,5
"144","United States","2006",13244.55,1
"145","Australia","2007",822.089,15
"146","Brazil","2007",1177.71,10
"147","Canada","2007",1266.4,9
"148","China","2007",3051.24,4
"149","France","2007",2401.44,6
"150","Germany","2007",3080.55,3
"151","India","2007",984.21,12
"152","Italy","2007",1993.72,7
"153","Japan","2007",4302.09,2
"154","Korea","2007",942.975,13
"155","Mexico","2007",897.315,14
